
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Barcelona,38,25,7,6,74,33,+41,57,,Hristo Stoichkov - 14,,→ European Cup via league finish
2,Atlético Madrid,38,17,13,8,52,28,+24,47,,Manolo - 16,,→ European Cup Winners' Cup via cup win
3,Real Madrid,38,20,6,12,63,37,+26,46,,Emilio Butragueño - 19,,→ UEFA Cup via league finish
4,Osasuna,38,15,15,8,43,34,+9,45,,Jan Urban - 13,,→ UEFA Cup via league finish
5,Sporting Gijón,38,16,12,10,50,37,+13,44,,Milan Luhový - 16,,→ UEFA Cup via league finish
6,Oviedo,38,13,16,9,36,35,+1,42,,Carlos Muñoz Cobo - 12,,→ UEFA Cup via league finish
7,Valencia,38,15,10,13,44,40,+4,40,,Fernando Gómez Colomer - 10,,
8,Sevilla,38,15,8,15,45,47,-2,38,,Toni Polster - 13,,
9,Valladolid,38,12,13,13,38,40,-2,37,,Gregorio Fonseca - 14,,
10,CD Logroñés,38,13,11,14,28,35,-7,37,,Quique Setién - 7,,
11,Real Burgos CF,38,10,17,11,32,27,+5,37,,Gabi Balint - 10,,
12,Athletic Club,38,15,6,17,41,50,-9,36,,Ernesto Valverde - 13,,
13,Real Sociedad,38,11,14,13,39,45,-6,36,,John Aldridge - 17,,
14,Tenerife,38,14,7,17,37,53,-16,35,,Rommel Fernández - 13,,
15,Mallorca,38,9,16,13,32,40,-8,34,,Claudio Barragán - 8,,
16,Espanyol,38,12,10,16,39,47,-8,34,,Wolfram Wuttke - 9,,
17,Zaragoza,38,11,11,16,36,40,-4,33,,Miguel Pardeza - 13,,→ Spanish 1/2 Relegation/Promotion Play-offs
18,Cádiz,38,7,15,16,29,41,-12,29,,José Manuel González López - 7,,→ Spanish 1/2 Relegation/Promotion Play-offs
19,Castellón,38,8,12,18,27,48,-21,28,,Pedro Alcañiz - 11,,Relegated
20,Real Betis,38,6,13,19,37,65,-28,25,,Pepe Mel - 14,,Relegated
