Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Almería,2,38,38,3420,,55,1.45,225,170,75.6,10,12,16,9,23.7,,,,,
Athletic Club,2,38,38,3420,,53,1.39,201,148,73.6,15,9,14,12,31.6,,,,,
Atlético Madrid,4,38,38,3420,,61,1.61,187,126,67.4,13,8,17,6,15.8,,,,,
Barcelona,1,38,38,3420,,24,0.63,116,92,79.3,31,6,1,20,52.6,,,,,
Espanyol,2,38,38,3460,,46,1.20,154,108,70.1,11,11,16,13,34.2,,,,,
Getafe,2,38,38,3420,,48,1.26,170,122,71.8,17,7,14,11,28.9,,,,,
La Coruña,2,38,38,3420,,49,1.29,204,155,76.0,13,8,17,13,34.2,,,,,
Málaga,1,38,38,3420,,48,1.26,178,130,73.0,7,16,15,7,18.4,,,,,
Mallorca,2,38,38,3420,,44,1.16,169,125,74.0,18,8,12,12,31.6,,,,,
Osasuna,2,38,38,3420,,46,1.21,165,119,72.1,11,10,17,11,28.9,,,,,
Racing Sant,2,38,38,3420,,59,1.55,183,124,67.8,9,12,17,8,21.1,,,,,
Real Madrid,1,38,38,3420,,35,0.92,140,105,75.0,31,3,4,15,39.5,,,,,
Sevilla,2,38,38,3420,,49,1.29,171,122,71.3,19,6,13,11,28.9,,,,,
Sporting Gijón,1,38,38,3420,,51,1.34,174,123,70.7,9,13,16,8,21.1,,,,,
Tenerife,1,38,38,3420,,74,1.95,188,114,60.6,9,9,20,6,15.8,,,,,
Valencia,2,38,38,3420,,40,1.05,170,130,76.5,21,8,9,17,44.7,,,,,
Valladolid,3,38,38,3400,,62,1.64,177,115,65.0,7,15,16,9,23.7,,,,,
Villarreal,1,38,38,3420,,57,1.50,165,108,65.5,16,8,14,10,26.3,,,,,
Xerez,2,38,38,3420,,66,1.74,200,134,67.0,8,10,20,5,13.2,,,,,
Zaragoza,3,38,38,3420,,64,1.68,198,134,67.7,10,11,17,11,28.9,,,,,
