Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Almería,26,25.7,,38,418,,,36,27,36,0,1,100,4,0.95,0.71,1.66,0.95,1.66
Athletic Club,29,25.4,,38,418,,,57,34,50,7,11,102,7,1.50,0.89,2.39,1.32,2.21
Atlético Madrid,24,26.0,,38,418,,,61,44,59,2,5,105,5,1.61,1.16,2.76,1.55,2.71
Barcelona,28,26.5,,38,418,,,94,73,89,5,5,72,2,2.47,1.92,4.39,2.34,4.26
Espanyol,31,24.9,,38,418,,,44,28,38,6,6,109,5,1.16,0.74,1.89,1.00,1.74
Getafe,23,26.2,,38,418,,,47,30,42,5,5,109,7,1.24,0.79,2.03,1.11,1.89
Hércules,26,28.6,,38,418,,,36,17,33,3,4,92,8,0.95,0.45,1.39,0.87,1.32
La Coruña,30,27.2,,38,418,,,30,21,25,5,5,86,5,0.79,0.55,1.34,0.66,1.21
Levante,28,28.8,,38,418,,,41,29,39,2,2,126,3,1.08,0.76,1.84,1.03,1.79
Málaga,34,26.3,,38,418,,,53,36,50,3,6,102,7,1.39,0.95,2.34,1.32,2.26
Mallorca,24,26.5,,38,418,,,41,31,37,4,7,88,4,1.08,0.82,1.89,0.97,1.79
Osasuna,26,29.5,,38,418,,,44,27,39,5,5,106,7,1.16,0.71,1.87,1.03,1.74
Racing Sant,29,27.5,,38,418,,,38,21,37,1,6,87,7,1.00,0.55,1.55,0.97,1.53
Real Madrid,30,25.6,,38,418,,,100,67,89,11,12,93,8,2.63,1.76,4.39,2.34,4.11
Real Sociedad,23,26.2,,38,418,,,45,32,41,4,4,80,0,1.18,0.84,2.03,1.08,1.92
Sevilla,32,26.5,,38,418,,,62,41,52,10,12,100,7,1.63,1.08,2.71,1.37,2.45
Sporting Gijón,29,26.7,,38,418,,,33,21,26,7,7,109,6,0.87,0.55,1.42,0.68,1.24
Valencia,27,27.0,,38,418,,,63,47,61,2,2,111,8,1.66,1.24,2.89,1.61,2.84
Villarreal,28,26.4,,38,418,,,54,39,50,4,4,89,5,1.42,1.03,2.45,1.32,2.34
Zaragoza,24,27.5,,38,418,,,40,22,34,6,6,120,9,1.05,0.58,1.63,0.89,1.47
